DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-11-15 20:47:50.689,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
499479,0.9978,0.0056,-0.0018,0.0658,-0.0007,-0.0159,0.1637,0
499645,0.9978,0.0056,-0.0018,0.0658,-0.0017,-0.0105,0.1667,0
499812,0.9978,0.0056,-0.0018,0.0658,0.0133,-0.0024,0.1713,0
499979,0.9978,0.0056,-0.0018,0.0657,0.0083,0.0043,0.1717,0
500145,0.9978,0.0056,-0.0018,0.0657,-0.0100,-0.0020,0.1450,0
500312,0.9978,0.0056,-0.0018,0.0657,0.0085,0.0031,0.1834,0
500479,0.9978,0.0056,-0.0018,0.0657,0.0068,0.0003,0.1528,0
500645,0.9978,0.0056,-0.0018,0.0657,-0.0071,-0.0009,0.1612,0
500812,0.9978,0.0056,-0.0018,0.0657,-0.0065,0.0033,0.1632,0
500979,0.9978,0.0056,-0.0018,0.0657,0.0032,-0.0098,0.1722,0
501145,0.9978,0.0056,-0.0018,0.0657,-0.0047,0.0006,0.1482,0
501312,0.9978,0.0056,-0.0018,0.0656,-0.0176,-0.0027,0.1767,0
501479,0.9978,0.0056,-0.0018,0.0656,-0.0002,0.0006,0.1734,0
501645,0.9978,0.0056,-0.0018,0.0656,-0.0062,0.0055,0.1466,0
501812,0.9978,0.0056,-0.0018,0.0656,0.0111,-0.0045,0.1634,0
501979,0.9978,0.0056,-0.0018,0.0656,-0.0018,-0.0037,0.1629,0
502145,0.9978,0.0056,-0.0018,0.0656,-0.0063,-0.0036,0.1586,0
502312,0.9978,0.0056,-0.0018,0.0656,-0.0111,-0.0106,0.1517,0
502479,0.9978,0.0056,-0.0018,0.0656,0.0051,0.0049,0.1520,0
502645,0.9978,0.0056,-0.0018,0.0656,0.0016,-0.0073,0.1648,0
502812,0.9978,0.0056,-0.0018,0.0656,-0.0126,-0.0022,0.1504,0
502979,0.9978,0.0056,-0.0018,0.0656,0.0036,0.0112,0.1664,0
503145,0.9978,0.0056,-0.0018,0.0656,-0.0007,-0.0001,0.1502,0
503312,0.9978,0.0056,-0.0018,0.0655,-0.0087,-0.0075,0.1733,0
503479,0.9978,0.0056,-0.0018,0.0655,-0.0070,-0.0068,0.1479,0
503645,0.9978,0.0056,-0.0018,0.0655,0.0199,0.0054,0.1544,0
503812,0.9978,0.0056,-0.0018,0.0655,-0.0040,-0.0148,0.1781,0
503979,0.9978,0.0056,-0.0018,0.0655,-0.0036,-0.0072,0.1464,0
504145,0.9978,0.0056,-0.0018,0.0655,0.0035,0.0070,0.1560,0
504312,0.9978,0.0056,-0.0018,0.0655,-0.0036,0.0122,0.1619,0
504479,0.9978,0.0056,-0.0018,0.0655,-0.0099,0.0028,0.1526,0
504645,0.9978,0.0056,-0.0018,0.0655,-0.0018,-0.0021,0.1656,0
504812,0.9978,0.0056,-0.0018,0.0655,-0.0102,0.0023,0.1385,0
504979,0.9978,0.0056,-0.0018,0.0655,-0.0054,-0.0081,0.1893,0
505145,0.9978,0.0056,-0.0018,0.0655,-0.0034,0.0136,0.1528,0
505312,0.9978,0.0055,-0.0018,0.0655,-0.0020,0.0136,0.1654,0
505479,0.9978,0.0056,-0.0018,0.0655,0.0044,0.0240,0.1340,0
505645,0.9978,0.0056,-0.0018,0.0655,0.0128,0.0031,0.1721,0
505812,0.9978,0.0055,-0.0018,0.0654,-0.0018,-0.0089,0.1613,0
505979,0.9978,0.0056,-0.0018,0.0654,0.0114,-0.0126,0.1336,0
506145,0.9978,0.0056,-0.0018,0.0654,0.0154,0.0038,0.1444,0
506312,0.9978,0.0056,-0.0018,0.0654,0.0113,-0.0085,0.1484,0
506479,0.9978,0.0056,-0.0018,0.0654,-0.0091,0.0060,0.1915,0
506645,0.9979,0.0072,-0.0018,0.0642,-0.2439,-0.7123,-0.1530,0
506812,0.9981,0.0125,-0.0002,0.0597,1.6867,-0.2895,0.5419,0
506979,0.9980,0.0216,-0.0013,0.0587,-0.6857,-0.6868,0.3513,0
507145,0.9980,0.0338,-0.0058,0.0530,-0.0806,-0.0396,0.7157,0
507312,0.9975,0.0511,-0.0126,0.0467,-0.1149,0.3034,0.4740,0
507479,0.9965,0.0709,-0.0101,0.0425,0.0531,0.0915,0.3470,0
507645,0.9952,0.0909,-0.0054,0.0365,-1.2218,0.4001,0.1453,0
507812,0.9934,0.1106,-0.0043,0.0293,-0.2660,0.3889,0.3458,0
507979,0.9912,0.1291,-0.0023,0.0279,0.2117,-0.2442,0.3858,0
508145,0.9891,0.1454,0.0016,0.0243,-2.0198,1.6131,0.1929,0
508312,0.9857,0.1673,0.0046,0.0171,-0.5769,0.8687,0.5873,0
508479,0.9803,0.1969,0.0102,0.0082,0.0210,0.8337,1.3686,0
508646,0.9717,0.2355,0.0179,0.0016,1.1539,0.8398,2.9237,0
508812,0.9574,0.2874,0.0291,0.0033,1.2045,0.0441,3.2824,0
