DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-11-15 20:46:56.659,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
406577,0.3846,0.0022,-0.0040,-0.9231,0.0004,-0.0106,0.1603,0
406744,0.3845,0.0022,-0.0040,-0.9231,-0.0040,-0.0031,0.1570,0
406910,0.3844,0.0022,-0.0040,-0.9231,-0.0101,-0.0001,0.1646,0
407077,0.3844,0.0022,-0.0040,-0.9232,-0.0162,-0.0185,0.1854,0
407244,0.3843,0.0022,-0.0040,-0.9232,0.0037,-0.0170,0.1720,0
407410,0.3843,0.0022,-0.0040,-0.9232,-0.0198,-0.0215,0.1721,0
407577,0.3842,0.0022,-0.0040,-0.9232,-0.0070,-0.0091,0.1473,0
407744,0.3842,0.0022,-0.0040,-0.9233,-0.0069,-0.0051,0.1776,0
407910,0.3841,0.0022,-0.0040,-0.9233,-0.0000,-0.0008,0.1684,0
408077,0.3841,0.0022,-0.0040,-0.9233,0.0020,0.0031,0.1725,0
408244,0.3840,0.0022,-0.0040,-0.9233,-0.0027,-0.0071,0.1826,0
408410,0.3840,0.0021,-0.0040,-0.9233,0.0137,-0.0139,0.1694,0
408577,0.3839,0.0021,-0.0040,-0.9234,0.0001,-0.0038,0.1957,0
408744,0.3839,0.0021,-0.0040,-0.9234,-0.0210,-0.0104,0.1537,0
408910,0.3838,0.0022,-0.0040,-0.9234,-0.0036,-0.0004,0.1857,0
409077,0.3838,0.0022,-0.0040,-0.9234,0.0048,-0.0029,0.1544,0
409244,0.3837,0.0022,-0.0040,-0.9234,0.0023,0.0065,0.1685,0
409410,0.3837,0.0022,-0.0040,-0.9235,0.0119,0.0097,0.1721,0
409577,0.3836,0.0022,-0.0040,-0.9235,-0.0014,-0.0074,0.1791,0
409744,0.3836,0.0022,-0.0040,-0.9235,-0.0057,-0.0014,0.1679,0
409910,0.3835,0.0022,-0.0040,-0.9235,-0.0016,-0.0211,0.1762,0
410077,0.3835,0.0021,-0.0040,-0.9235,0.0109,-0.0132,0.1647,0
410244,0.3834,0.0021,-0.0040,-0.9236,0.0032,-0.0003,0.1963,0
410410,0.3834,0.0021,-0.0040,-0.9236,-0.0122,0.0072,0.1620,0
410577,0.3833,0.0022,-0.0040,-0.9236,-0.0037,0.0068,0.1869,0
410744,0.3833,0.0021,-0.0040,-0.9236,0.0063,-0.0168,0.1785,0
410910,0.3832,0.0021,-0.0040,-0.9236,0.0034,-0.0269,0.1590,0
411077,0.3832,0.0021,-0.0040,-0.9237,0.0015,-0.0246,0.1689,0
411244,0.3832,0.0022,-0.0040,-0.9237,0.0066,-0.0100,0.1623,0
411410,0.3831,0.0021,-0.0040,-0.9237,0.0071,0.0051,0.1853,0
411577,0.3831,0.0022,-0.0040,-0.9237,-0.0074,0.0202,0.1722,0
411744,0.3830,0.0021,-0.0040,-0.9237,-0.0116,0.0126,0.1709,0
411910,0.3830,0.0021,-0.0040,-0.9237,-0.0057,-0.0152,0.1509,0
412077,0.3829,0.0021,-0.0040,-0.9238,0.0097,-0.0269,0.1735,0
412244,0.3829,0.0021,-0.0040,-0.9238,0.0123,-0.0292,0.1794,0
412410,0.3828,0.0021,-0.0040,-0.9238,0.0116,0.0025,0.1679,0
412577,0.3828,0.0021,-0.0040,-0.9238,-0.0215,0.0154,0.2034,0
412744,0.3828,0.0021,-0.0040,-0.9238,-0.0136,-0.0003,0.1655,0
412910,0.3828,0.0021,-0.0040,-0.9238,-0.0177,-0.0116,0.1778,0
413077,0.3827,0.0021,-0.0040,-0.9239,-0.0193,-0.0171,0.1796,0
413244,0.3827,0.0021,-0.0040,-0.9239,-0.0169,-0.0247,0.1570,0
413410,0.3826,0.0021,-0.0040,-0.9239,0.0128,-0.0218,0.1701,0
413577,0.3826,0.0021,-0.0040,-0.9239,-0.0017,0.0215,0.1635,0
413744,0.3826,0.0021,-0.0040,-0.9239,0.0007,0.0232,0.1649,0
413910,0.3825,0.0021,-0.0040,-0.9239,0.0076,0.0007,0.1623,0
414077,0.3825,0.0021,-0.0040,-0.9239,-0.0002,-0.0124,0.1793,0
414244,0.3824,0.0021,-0.0040,-0.9240,0.0134,-0.0310,0.1749,0
414410,0.3824,0.0021,-0.0040,-0.9240,0.0084,-0.0183,0.1782,0
414577,0.3824,0.0021,-0.0040,-0.9240,-0.0188,0.0024,0.1847,0
414744,0.3823,0.0021,-0.0040,-0.9240,-0.0076,0.0132,0.1562,0
414910,0.3823,0.0021,-0.0040,-0.9240,-0.0089,0.0124,0.1893,0
415077,0.3823,0.0021,-0.0040,-0.9240,0.0110,-0.0062,0.1702,0
415244,0.3822,0.0021,-0.0040,-0.9241,0.0037,-0.0311,0.1645,0
415410,0.3822,0.0021,-0.0040,-0.9241,-0.0126,-0.0211,0.1672,0
415577,0.3822,0.0021,-0.0040,-0.9241,-0.0092,-0.0128,0.1655,0
415744,0.3821,0.0021,-0.0040,-0.9241,-0.0018,-0.0115,0.1931,0
415910,0.3821,0.0021,-0.0040,-0.9241,0.0116,-0.0046,0.1847,0
416077,0.3820,0.0021,-0.0040,-0.9241,0.0073,0.0067,0.1762,0
416244,0.3820,0.0021,-0.0040,-0.9241,0.0058,-0.0149,0.1842,0
416410,0.3820,0.0021,-0.0040,-0.9242,0.0090,-0.0108,0.1792,0
416577,0.3820,0.0021,-0.0040,-0.9242,-0.0133,-0.0273,0.1683,0
416744,0.3819,0.0021,-0.0040,-0.9242,-0.0097,0.0072,0.1581,0
416910,0.3819,0.0021,-0.0040,-0.9242,-0.0185,-0.0030,0.1840,0
417077,0.3819,0.0021,-0.0040,-0.9242,-0.0083,0.0029,0.1821,0
417244,0.3818,0.0021,-0.0040,-0.9242,-0.0040,-0.0051,0.1703,0
417411,0.3818,0.0021,-0.0040,-0.9242,0.0295,-0.0112,0.1591,0
417577,0.3818,0.0021,-0.0040,-0.9242,-0.0036,-0.0269,0.1721,0
417744,0.3818,0.0021,-0.0040,-0.9243,-0.0102,-0.0083,0.1687,0
417911,0.3817,0.0021,-0.0040,-0.9243,-0.0214,0.0013,0.1566,0
418077,0.3817,0.0021,-0.0040,-0.9243,-0.0166,-0.0022,0.1837,0
418244,0.3816,0.0021,-0.0040,-0.9243,-0.0139,0.0002,0.1869,0
418411,0.3816,0.0021,-0.0040,-0.9243,0.0014,-0.0036,0.1726,0
418577,0.3816,0.0020,-0.0040,-0.9243,0.0134,-0.0190,0.1787,0
418744,0.3816,0.0020,-0.0040,-0.9243,0.0041,0.0054,0.1666,0
418911,0.3815,0.0020,-0.0040,-0.9243,0.0036,-0.0042,0.1650,0
419077,0.3815,0.0020,-0.0040,-0.9244,0.0031,-0.0027,0.1744,0
419244,0.3815,0.0020,-0.0040,-0.9244,-0.0032,-0.0012,0.1809,0
419411,0.3815,0.0020,-0.0040,-0.9244,-0.0206,-0.0161,0.1573,0
419577,0.3814,0.0020,-0.0040,-0.9244,-0.0009,-0.0217,0.1908,0
419744,0.3814,0.0020,-0.0039,-0.9244,0.0072,-0.0217,0.1658,0
419911,0.3814,0.0020,-0.0040,-0.9244,0.0120,-0.0086,0.1704,0
420077,0.3814,0.0020,-0.0040,-0.9244,0.0273,-0.0055,0.1814,0
420244,0.3813,0.0020,-0.0040,-0.9244,0.0022,-0.0025,0.1851,0
420411,0.3813,0.0020,-0.0040,-0.9244,-0.0120,-0.0024,0.1784,0
420577,0.3813,0.0020,-0.0040,-0.9244,-0.0052,-0.0126,0.1750,0
420744,0.3813,0.0020,-0.0040,-0.9245,-0.0015,-0.0219,0.1739,0
420911,0.3812,0.0020,-0.0040,-0.9245,-0.0001,-0.0229,0.1596,0
421077,0.3812,0.0020,-0.0040,-0.9245,0.0270,0.0010,0.1837,0
421244,0.3812,0.0020,-0.0040,-0.9245,0.0176,0.0066,0.1812,0
421411,0.3812,0.0020,-0.0041,-0.9245,-0.0031,0.0088,0.1739,0
421577,0.3812,0.0020,-0.0041,-0.9245,-0.0087,-0.0093,0.1736,0
421744,0.3812,0.0020,-0.0041,-0.9245,-0.0219,-0.0129,0.1850,0
421911,0.3811,0.0020,-0.0041,-0.9245,-0.0254,-0.0225,0.1804,0
422077,0.3811,0.0020,-0.0041,-0.9245,-0.0032,-0.0099,0.1751,0
422244,0.3811,0.0020,-0.0041,-0.9245,0.0118,0.0172,0.1671,0
422411,0.3810,0.0020,-0.0041,-0.9245,0.0197,0.0230,0.1794,0
422577,0.3810,0.0020,-0.0041,-0.9246,0.0168,-0.0109,0.1816,0
422744,0.3810,0.0020,-0.0041,-0.9246,0.0113,-0.0047,0.1771,0
422911,0.3810,0.0020,-0.0041,-0.9246,-0.0126,-0.0225,0.1858,0
423077,0.3809,0.0020,-0.0041,-0.9246,-0.0236,-0.0120,0.1777,0
423244,0.3809,0.0020,-0.0041,-0.9246,-0.0128,-0.0151,0.1811,0
423411,0.3809,0.0020,-0.0041,-0.9246,-0.0069,0.0121,0.1719,0
423577,0.3809,0.0020,-0.0041,-0.9246,0.0079,-0.0011,0.1628,0
423744,0.3808,0.0020,-0.0041,-0.9246,0.0149,0.0066,0.1585,0
423911,0.3808,0.0020,-0.0041,-0.9246,0.0163,-0.0018,0.1866,0
424077,0.3808,0.0020,-0.0041,-0.9246,-0.0072,-0.0131,0.1932,0
424244,0.3808,0.0020,-0.0041,-0.9247,-0.0050,-0.0146,0.1867,0
424411,0.3808,0.0020,-0.0041,-0.9247,-0.0200,-0.0124,0.1831,0
424577,0.3807,0.0020,-0.0041,-0.9247,0.0050,0.0003,0.1626,0
424744,0.3807,0.0020,-0.0041,-0.9247,0.0258,-0.0035,0.1716,0
424911,0.3807,0.0020,-0.0041,-0.9247,0.0333,0.0066,0.1762,0
425077,0.3807,0.0020,-0.0041,-0.9247,0.0379,-0.0199,0.1725,0
425244,0.3
